STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,DATA_SOURCE,OBS_CONF,OBS_VALUE,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2005,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,8095.942336568412,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2006,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,7274.69637557883,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2007,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,6551.696186737034,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2008,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,6651.486565076669,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2009,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,6976.278957486003,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2010,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,7393.227973334246,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2011,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,7314.311969205661,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2012,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,7241.413402332494,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2013,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,7089.657709941446,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,USA,OECD_AI_PUBS_TOT,_T,_T,_T,NUMBER,_Z,_Z,_Z,2014,MEAN,COUNT,OECD_AI,602,0,A,OECD_AI,PU,7173.456756326883,Annual,United States,Number of AI publications,Total,All age ranges or no breakdown by age,Total,Number,Not Applicable,Not Applicable,Not Applicable,Mean,Count (Integer),OECD Artificial Intelligence,CCYY,Units,Normal value,OECD Artificial Intelligence,Public
